r,248,0,0,1
o,248,128,0,1
y,248,248,0,1
l,0,248,0,1
g,0,128,64,1
a,0,248,248,1
b,0,0,248,1
m,192,64,32,1
B,128,96,0,1
p,248,192,128,1
P,192,0,192,1
D,0,0,0,1
G,128,128,128,1
s,192,192,192,1
w,248,248,248,1
.,0,0,0,0
c,184,168,96,1
Y,248,216,32,1
L,200,248,0,1
t,104,104,88,1
R,232,240,248,1
A,112,176,208,1
C,152,144,64,1
d,16,80,112,1
W,248,248,152,1
M,136,248,136,1
O,232,240,248,0.5
F,200,248,0,0.5
S,128,128,200,1
n,0,200,0,1
T,248,192,0,1
k,248,192,240,1
q,111,162,55,1
Q,51,90,97,1
N,213,197,136,1
U,231,193,62,1
u,24,48,72,1
i,104,104,88,1
I,152,176,248,1
1,182,237,195,1
2,166,188,236,0.5
~,0,0,115,0.8
